"date";"home_team";"away_team";"home_score";"away_score";"tournament";"country";"neutral";"year";"winner"
"2006-01-02";"Qatar";"Libya";2;0;"Friendly";"Qatar";FALSE;2006;"Qatar"
"2006-01-05";"Egypt";"Zimbabwe";2;0;"Friendly";"Egypt";FALSE;2006;"Egypt"
"2006-01-07";"Guinea";"Togo";1;0;"Friendly";"France";TRUE;2006;"Guinea"
"2006-01-09";"Morocco";"DR Congo";3;0;"Friendly";"Morocco";FALSE;2006;"Morocco"
"2006-01-11";"Ghana";"Togo";0;1;"Friendly";"Tunisia";TRUE;2006;"Togo"
"2006-01-12";"Tunisia";"Libya";1;0;"Friendly";"Tunisia";FALSE;2006;"Tunisia"
"2006-01-14";"Egypt";"South Africa";1;2;"Friendly";"Egypt";FALSE;2006;"South Africa"
"2006-01-14";"Morocco";"Zimbabwe";1;0;"Friendly";"Morocco";FALSE;2006;"Morocco"
"2006-01-14";"Senegal";"DR Congo";0;0;"Friendly";"Senegal";FALSE;2006;"draw"
"2006-01-15";"Tunisia";"Ghana";2;0;"Friendly";"Tunisia";FALSE;2006;"Tunisia"
"2006-01-17";"Ivory Coast";"Jordan";2;0;"Friendly";"United Arab Emirates";TRUE;2006;"Ivory Coast"
"2006-01-17";"Morocco";"Angola";2;2;"Friendly";"Morocco";FALSE;2006;"draw"
"2006-01-18";"Saudi Arabia";"Sweden";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-01-18";"United Arab Emirates";"South Korea";1;0;"Friendly";"United Arab Emirates";FALSE;2006;"United Arab Emirates"
"2006-01-20";"Egypt";"Libya";3;0;"African Cup of Nations";"Egypt";FALSE;2006;"Egypt"
"2006-01-21";"Cameroon";"Angola";3;1;"African Cup of Nations";"Egypt";TRUE;2006;"Cameroon"
"2006-01-21";"Greece";"South Korea";1;1;"Friendly";"Saudi Arabia";TRUE;2006;"draw"
"2006-01-21";"Morocco";"Ivory Coast";0;1;"African Cup of Nations";"Egypt";TRUE;2006;"Ivory Coast"
"2006-01-21";"Saudi Arabia";"Finland";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-01-21";"Togo";"DR Congo";0;2;"African Cup of Nations";"Egypt";TRUE;2006;"DR Congo"
"2006-01-22";"South Africa";"Guinea";0;2;"African Cup of Nations";"Egypt";TRUE;2006;"Guinea"
"2006-01-22";"Tunisia";"Zambia";4;1;"African Cup of Nations";"Egypt";TRUE;2006;"Tunisia"
"2006-01-22";"USA";"Canada";0;0;"Friendly";"United States";FALSE;2006;"draw"
