Nation,Position,Player,Club,Age,Caps
France,Goalkeeper,Hugo Lloris,Lyon,23,11
France,Defender,Bacary Sagna,Arsenal,27,20
France,Defender,Eric Abidal,Barcelona,30,48
France,Defender,Anthony Réveillère,Lyon,30,6
France,Defender,William Gallas,Arsenal,32,81
France,Defender,Marc Planus,Bordeaux,28,1
France,Midfielder,Franck Ribéry,Bayern Munich,27,45
France,Midfielder,Yoann Gourcuff,Bordeaux,23,20
France,Forward,Djibril Cissé,Panathinaikos,28,39
France,Forward,Sidney Govou,Lyon,30,46
France,Forward,André-Pierre Gignac,Toulouse,24,13
France,Forward,Thierry Henry,Barcelona,32,121
France,Defender,Patrice Evra,Manchester United,29,30
France,Midfielder,Jérémy Toulalan,Lyon,26,34
France,Midfielder,Florent Malouda,Chelsea,29,54
France,Goalkeeper,Steve Mandanda,Marseille,25,13
France,Defender,Sébastien Squillaci,Sevilla,29,20
France,Midfielder,Alou Diarra,Bordeaux,28,25
France,Midfielder,Abou Diaby,Arsenal,24,5
France,Midfielder,Mathieu Valbuena,Marseille,25,2
France,Forward,Nicolas Anelka,Chelsea,31,67
France,Defender,Gaël Clichy,Arsenal,24,4
France,Goalkeeper,Cédric Carrasso,Bordeaux,28,0
Mexico,Goalkeeper,Óscar Pérez,Chiapas,37,52
Mexico,Defender,Francisco Rodríguez,PSV Eindhoven,28,48
Mexico,Defender,Carlos Salcido,PSV Eindhoven,30,73
Mexico,Defender,Rafael Márquez,Barcelona,31,91
Mexico,Defender,Ricardo Osorio,VfB Stuttgart,30,76
Mexico,Midfielder,Gerardo Torrado,Cruz Azul,31,114
Mexico,Midfielder,Pablo Barrera,UNAM,22,21
Mexico,Midfielder,Israel Castro,UNAM,29,31
Mexico,Forward,Guillermo Franco,West Ham United,33,21
Mexico,Forward,Cuauhtémoc Blanco,Veracruz,37,115
Mexico,Forward,Carlos Vela,Arsenal,21,28
Mexico,Defender,Paul Aguilar,Pachuca,24,10
Mexico,Goalkeeper,Guillermo Ochoa,América,24,37
Mexico,Forward,Javier Hernández,Guadalajara,22,12
Mexico,Defender,Héctor Moreno,AZ,22,10
Mexico,Defender,Efraín Juárez,UNAM,22,19
Mexico,Forward,Giovani dos Santos,Galatasaray,21,26
Mexico,Midfielder,Andrés Guardado,Deportivo La Coruña,23,56
Mexico,Defender,Jonny Magallón,Guadalajara,28,52
Mexico,Defender,Jorge Torres Nilo,Atlas,22,8
Mexico,Forward,Adolfo Bautista,Guadalajara,31,37
Mexico,Midfielder,Alberto Medina,Guadalajara,27,56
Mexico,Goalkeeper,Luis Ernesto Michel,Guadalajara,30,4
South Africa,Goalkeeper,Moeneeb Josephs,Orlando Pirates,30,17
South Africa,Defender,Siboniso Gaxa,Mamelodi Sundowns,26,37
South Africa,Defender,Tsepo Masilela,Maccabi Haifa,25,31
South Africa,Defender,Aaron Mokoena,Portsmouth,29,101
South Africa,Defender,Anele Ngcongca,Genk,22,5
South Africa,Midfielder,MacBeth Sibaya,Rubin Kazan,32,58
South Africa,Midfielder,Lance Davids,Ajax Cape Town,25,22
South Africa,Midfielder,Siphiwe Tshabalala,Kaizer Chiefs,25,48
South Africa,Forward,Katlego Mphela,Mamelodi Sundowns,25,31
South Africa,Midfielder,Steven Pienaar,Everton,28,50
South Africa,Midfielder,Teko Modise,Orlando Pirates,27,52
South Africa,Midfielder,Reneilwe Letsholonyane,Kaizer Chiefs,28,13
South Africa,Midfielder,Kagisho Dikgacoi,Fulham,25,37
South Africa,Defender,Matthew Booth,Mamelodi Sundowns,33,27
South Africa,Defender,Lucas Thwala,Orlando Pirates,28,24
South Africa,Goalkeeper,Itumeleng Khune,Kaizer Chiefs,22,27
South Africa,Forward,Bernard Parker,Twente,24,28
South Africa,Forward,Siyabonga Nomvethe,Moroka Swallows,32,76
South Africa,Midfielder,Surprise Moriri,Mamelodi Sundowns,30,34
South Africa,Defender,Bongani Khumalo,Supersport United,23,14
South Africa,Defender,Siyabonga Sangweni,Golden Arrows,28,8
South Africa,Goalkeeper,Shu-Aib Walters,Maritzburg United,28,0
South Africa,Midfielder,Thanduyise Khuboni,Golden Arrows,24,9
Uruguay,Goalkeeper,Fernando Muslera,Lazio,23,6
Uruguay,Defender,Diego Lugano,Fenerbahçe,29,42
Uruguay,Defender,Diego Godín,Villarreal,24,38
Uruguay,Defender,Jorge Fucile,Porto,25,24
Uruguay,Midfielder,Walter Gargano,Napoli,25,28
Uruguay,Defender,Mauricio Victorino,Universidad de Chile,27,4
Uruguay,Forward,Edinson Cavani,Palermo,23,14
Uruguay,Midfielder,Sebastián Eguren,AIK,29,27
Uruguay,Forward,Luis Suárez,Ajax,23,30
Uruguay,Forward,Diego Forlán,Atlético Madrid,31,62
Uruguay,Midfielder,Álvaro Pereira,Porto,24,15
Uruguay,Goalkeeper,Juan Castillo,Deportivo Cali,32,11
Uruguay,Forward,Sebastián Abreu,Botafogo,33,56
Uruguay,Midfielder,Nicolás Lodeiro,Ajax,21,4
Uruguay,Midfielder,Diego Pérez,Monaco,30,50
Uruguay,Defender,Maxi Pereira,Benfica,26,37
Uruguay,Midfielder,Egidio Arévalo Ríos,Peñarol,28,6
Uruguay,Midfielder,Ignacio González,Levadiakos,28,17
Uruguay,Defender,Andrés Scotti,Colo-Colo,34,26
Uruguay,Midfielder,Álvaro Fernández,Universidad de Chile,24,7
Uruguay,Forward,Sebastián Fernández,Banfield,25,6
Uruguay,Defender,Martín Cáceres,Juventus,23,19
Uruguay,Goalkeeper,Martín Silva,Defensor Sporting,27,1
Argentina,Goalkeeper,Diego Pozo,Colón,32,3
Argentina,Defender,Martín Demichelis,Bayern Munich,29,25
Argentina,Defender,Clemente Rodríguez,Estudiantes,28,12
Argentina,Defender,Nicolás Burdisso,Roma,29,29
Argentina,Midfielder,Mario Bolatti,Fiorentina,25,5
Argentina,Defender,Gabriel Heinze,Marseille,32,64
Argentina,Midfielder,Ángel Di María,Benfica,22,8
Argentina,Midfielder,Juan Sebastián Verón,Estudiantes,35,70
Argentina,Forward,Gonzalo Higuaín,Real Madrid,22,5
Argentina,Forward,Lionel Messi,Barcelona,22,45
