Nationality;Position;Player;Club;Age;Caps;Overall
Brazil;Goalkeeper;Jefferson;Botafogo;31;9;82
Brazil;Midfielder;Paulinho;Tottenham Hotspur;25;26;81
Brazil;Forward;Fred;Fluminense;30;33;79
Brazil;Forward;Jo;Atletico Mineiro;27;17;79
Brazil;Goalkeeper;Victor;Atletico Mineiro;31;6;79
Cameroon;Goalkeeper;Loic Feudjou;Coton Sport;22;2;
Cameroon;Defender;Benoit Assou-Ekotto;Queens Park Rangers;30;22;
Cameroon;Defender;Henri Bedimo;Lyon;30;31;
Cameroon;Forward;Pierre Webo;Fenerbahce;32;56;
Cameroon;Midfielder;Stephane Mbia;Sevilla;28;49;
Cameroon;Forward;Fabrice Olinga;Zulte Waregem;18;8;
Cameroon;Goalkeeper;Sammy Ndjock;Fethiyespor;24;3;
Croatia;Midfielder;Ognjen Vukojevic;Dynamo Kyiv;30;55;
Croatia;Goalkeeper;Oliver Zelenika;Lokomotiva;21;0;
Croatia;Midfielder;Sammir;Getafe;27;6;
Croatia;Defender;Domagoj Vida;Dynamo Kyiv;25;23;
Croatia;Forward;Eduardo;Shakhtar Donetsk;31;63;
Mexico;Defender;Rafael Marquez;Leon;35;120;35
Mexico;Forward;Alan Pulido;UANL;23;6;72
Australia;Midfielder;Mark Bresciano;Al-Gharafa;34;74;72
Chile;Defender;Eugenio Mena;Santos;25;25;72
Chile;Forward;Mauricio Pinilla;Cagliari;30;27;75
Chile;Midfielder;Jorge Valdivia;Palmeiras;30;57;78
Chile;Defender;Gonzalo Jara;Nottingham Forest;28;65;70
Chile;Midfielder;Charles Aranguiz;Internacional;25;21;75
Netherlands;Defender;Paul Verhaegh;FC Augsburg;30;2;75
Colombia;Midfielder;Carlos Carbonero;River Plate;23;1;71
Colombia;Defender;Pablo Armero;West Ham United;27;53;75
Colombia;Goalkeeper;Faryd Mondragon;Deportivo Cali;42;50;NA
Greece;Midfielder;Giorgos Karagounis;Fulham;37;135;NA
Ivory Coast;Goalkeeper;Boubacar Barry;Lokeren;34;77;69
Japan;Defender;Masato Morishige;FC Tokyo;27;10;NA
Japan;Midfielder;Yasuhito Endo;Gamba Osaka;34;144;NA
Japan;Goalkeeper;Shusaku Nishikawa;Urawa Red Diamonds;27;13;NA
Japan;Forward;Yoshito Okubo;Kawasaki Frontale;32;57;NA
Japan;Midfielder;Toshihiro Aoyama;Sanfrecce Hiroshima;28;6;NA
Japan;Defender;Yasuyuki Konno;Gamba Osaka;31;81;NA
Japan;Midfielder;Hotaru Yamaguchi;Cerezo Osaka;23;12;NA
Japan;Defender;Masahiko Inoha;Jubilo Iwata;30;21;NA
Japan;Forward;Manabu Saito;Yokohama F. Marinos;24;5;NA
Japan;Goalkeeper;Shuichi Gonda;FC Tokyo;25;2;NA
Costa Rica;Defender;Jhonny Acosta;Alajuelense;30;25;NA
Costa Rica;Defender;Michael Umana;Saprissa;31;83;NA
Costa Rica;Midfielder;Christian Bolanos;Copenhagen;30;55;70
Costa Rica;Defender;David Myrie;Herediano;26;10;NA
Costa Rica;Midfielder;Michael Barrantes;Aalesund;30;50;72
Costa Rica;Midfielder;Oscar Granados;Herediano;28;11;NA
Costa Rica;Goalkeeper;Patrick Pemberton;Alajuelense;32;21;NA
Costa Rica;Midfielder;Diego Calvo;Valerenga;23;10;63
Costa Rica;Goalkeeper;Daniel Cambronero;Herediano;28;4;NA
England;Defender;Glen Johnson;Liverpool;29;52;75
Italy;Defender;Ignazio Abate;Milan;27;20;75
Italy;Forward;Antonio Cassano;Parma;31;37;81
Uruguay;Defender;Diego Lugano;West Bromwich Albion;33;94;74
Uruguay;Forward;Diego Forlan;Cerezo Osaka;35;110;78
