"Nationality";"Position";"Player";"Club";"Age";"Caps";"Overall"
"Costa Rica";"Goalkeeper";"alvaro mesen";"herediano";33;38;NA
"Costa Rica";"Defender";"jervis drummond";"saprissa";29;56;NA
"Costa Rica";"Defender";"luis marin";"alajuelense";31;120;NA
"Costa Rica";"Defender";"michael umana";"brujas";23;18;NA
"Costa Rica";"Defender";"gilberto martinez";"brescia";26;57;NA
"Costa Rica";"Midfielder";"danny fonseca";"cartagines";26;22;NA
"Costa Rica";"Midfielder";"christian bolanos";"saprissa";22;16;NA
"Costa Rica";"Midfielder";"mauricio solis";"comunicaciones";33;107;NA
"Costa Rica";"Forward";"paulo wanchope";"herediano";29;69;NA
"Costa Rica";"Midfielder";"walter centeno";"saprissa";31;93;NA
"Costa Rica";"Forward";"ronald gomez";"saprissa";31;80;NA
"Costa Rica";"Defender";"leonardo gonzalez";"herediano";25;36;NA
"Costa Rica";"Forward";"kurt bernard";"puntarenas";28;3;NA
"Costa Rica";"Midfielder";"randall azofeifa";"saprissa";21;5;NA
"Costa Rica";"Defender";"harold wallace";"alajuelense";30;78;NA
"Costa Rica";"Midfielder";"carlos hernandez";"alajuelense";24;17;NA
"Costa Rica";"Defender";"gabriel badilla";"saprissa";21;7;NA
"Costa Rica";"Goalkeeper";"jose francisco porras";"saprissa";35;16;NA
"Costa Rica";"Midfielder";"douglas sequeira";"real salt lake";28;29;NA
"Costa Rica";"Forward";"victor nunez";"cartagines";26;3;NA
"Costa Rica";"Defender";"michael rodriguez";"alajuelense";24;3;NA
"Costa Rica";"Goalkeeper";"wardy alfaro";"alajuelense";28;2;NA
"Ecuador";"Goalkeeper";"cristian mora";"ldu quito";26;8;NA
"Ecuador";"Defender";"paul ambrosi";"ldu quito";25;24;NA
"Ecuador";"Forward";"carlos tenorio";"al sadd";27;29;NA
"Germany";"Defender";"jens nowotny";"bayer leverkusen";32;46;NA
"Poland";"Defender";"seweryn gancarczyk";"metalist kharkiv";24;2;NA
"Poland";"Defender";"jacek bak";"al-rayyan";33;72;NA
"England";"Defender";"sol campbell";"arsenal";31;68;NA
"Paraguay";"Defender";"carlos gamarra";"palmeiras";35;106;NA
"Paraguay";"Midfielder";"roberto acuna";"deportivo la coruna";34;93;NA
"Trinidad and Tobago";"Defender";"marvin andrews";"rangers";30;98;NA
"Trinidad and Tobago";"Defender";"cyd gray";"san juan jabloteh";29;39;NA
"Trinidad and Tobago";"Midfielder";"aurtis whitley";"san juan jabloteh";29;24;NA
"Trinidad and Tobago";"Midfielder";"evans wise";"waldhof mannheim";32;16;NA
"Trinidad and Tobago";"Defender";"david atiba charles";"w connection";28;19;NA
"Trinidad and Tobago";"Midfielder";"densill theobald";"falkirk";23;38;NA
"Trinidad and Tobago";"Forward";"jason scotland";"st. johnstone";27;25;NA
"Trinidad and Tobago";"Midfielder";"anthony wolfe";"san juan jabloteh";22;4;NA
"Ivory Coast";"Goalkeeper";"jean-jacques tizie";"esperance de tunis";33;24;NA
"Ivory Coast";"Defender";"marco zoro";"messina";22;13;NA
"Ivory Coast";"Defender";"cyril domoraud";"creteil";34;50;NA
"Ivory Coast";"Goalkeeper";"boubacar barry";"beveren";26;6;NA
"Serbia";"Goalkeeper";"dragoslav jevric";"ankaraspor";31;40;NA
"Serbia";"Defender";"goran gavrancic";"dynamo kyiv";27;25;NA
"Serbia";"Midfielder";"predrag dordevic";"olympiacos";33;34;NA
"Serbia";"Defender";"dusan basta";"red star belgrade";21;2;NA
"Serbia";"Defender";"nenad dordevic";"partizan";26;15;NA
"Serbia";"Defender";"dusan petkovic";"ofk beograd";31;7;NA
"Serbia";"Midfielder";"albert nad";"partizan";31;42;NA
"Angola";"Goalkeeper";"joao ricardo";"moreirense";36;26;NA
"Angola";"Defender";"marco airosa";"barreirense";21;2;NA
"Angola";"Defender";"jamba";"asa";28;35;NA
"Angola";"Defender";"lebo lebo";"petro atletico";29;15;NA
"Angola";"Midfielder";"miloy";"interclube";25;11;NA
"Angola";"Midfielder";"andre macanga";"al-salmiya";28;33;NA
"Angola";"Forward";"akwa";"al-wakrah";29;77;NA
"Angola";"Forward";"mateus";"gil vicente";21;4;NA
"Angola";"Goalkeeper";"lama";"petro atletico";25;9;NA
"Angola";"Midfielder";"mendonca";"varzim";23;34;NA
"Angola";"Forward";"flavio";"al ahly";26;46;NA
"Angola";"Midfielder";"ze kalanga";"petro atletico";22;23;NA
"Angola";"Forward";"love";"asa";27;35;NA
"Angola";"Defender";"loco";"primeiro agosto";21;11;NA
"Angola";"Defender";"delgado";"petro atletico";26;17;NA
"Angola";"Goalkeeper";"mario hipolito";"interclube";21;1;NA
"Angola";"Defender";"marco abreu";"portimonense";31;3;NA
"IR Iran";"Goalkeeper";"ebrahim mirzapour";"foolad";27;64;NA
"IR Iran";"Defender";"sohrab bakhtiarizadeh";"saba battery";32;31;NA
"IR Iran";"Defender";"yahya golmohammadi";"saba battery";35;69;NA
"IR Iran";"Midfielder";"ferydoon zandi";"1. fc kaiserslautern";27;10;NA
"IR Iran";"Forward";"ali daei";"saba battery";37;147;NA
"IR Iran";"Forward";"rasoul khatibi";"sepahan";27;12;NA
"IR Iran";"Goalkeeper";"hassan roudbarian";"pas";27;3;NA
"IR Iran";"Defender";"hossein kaebi";"foolad";20;44;NA
"IR Iran";"Forward";"arash borhani";"pas";22;20;NA
"IR Iran";"Forward";"reza enayati";"esteghlal";29;15;NA
"IR Iran";"Forward";"javad kazemian";"persepolis";25;25;NA
"IR Iran";"Midfielder";"moharram navidkia";"vfl bochum";23;24;NA
"IR Iran";"Defender";"amir hossein sadeghi";"esteghlal";24;1;NA
"IR Iran";"Defender";"mohammad nosrati";"pas";24;44;NA
"IR Iran";"Midfielder";"mehrzad madanchi";"persepolis";23;6;NA
"IR Iran";"Goalkeeper";"vahid talebloo";"esteghlal";24;1;NA
"IR Iran";"Midfielder";"masoud shojaei";"saipa";22;3;NA
"Mexico";"Midfielder";"sinha";"toluca";30;32;NA
"Mexico";"Forward";"guillermo franco";"villarreal";29;7;NA
"Portugal";"Forward";"luis boa morte";"fulham";28;24;NA
"Portugal";"Midfielder";"deco";"barcelona";28;35;NA
"Czech Republic";"Defender";"pavel mares";"zenit saint petersburg";30;10;NA
"Czech Republic";"Defender";"radoslav kovac";"spartak moscow";26;6;NA
