"home_team";"away_team";"phase";"Group";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
"Qatar";"Ecuador";"group matches";"A";67,0909090909091;1439,89;70,5416666666667;1464,39;1;0;0;0,4
"Senegal";"Netherlands";"group matches";"A";71,1538461538462;1584,38;79,6538461538462;1694,51;0;0;0,375;0,54
"England";"IR Iran";"group matches";"B";76,2307692307692;1728,47;71,6428571428571;1564,61;0;0;0,420289855072464;0,133333333333333
"USA";"Wales";"group matches";"B";73,7307692307692;1627,48;69,7692307692308;1569,82;0;0;0,242424242424242;0,2
"France";"Australia";"group matches";"D";81,5219230769231;1759,78;69,2307692307692;1488,72;1;0;0,515151515151515;0,125
"Denmark";"Tunisia";"group matches";"D";75,8461538461538;1666,57;69,8571428571429;1507,54;0;0;0,45;0,133333333333333
"Mexico";"Poland";"group matches";"C";76,7692307692308;1644,89;75,1892307692308;1548,59;0,5;0;0,280701754385965;0,470588235294118
"Argentina";"Saudi Arabia";"group matches";"C";77,0384615384615;1773,88;65,8235294117647;1437,78;0;0;0,530864197530864;0,1875
"Belgium";"Canada";"group matches";"F";80,6276923076923;1816,71;71,44;1475;0;0;0,416666666666667;0
"Spain";"Costa Rica";"group matches";"E";79,9230769230769;1715,22;71,25;1503,59;0,666666666666667;0;0,476190476190476;0,277777777777778
"Germany";"Japan";"group matches";"E";80,7307692307692;1650,21;72,4;1559,54;0;0;0,659574468085106;0,238095238095238
"Morocco";"Croatia";"group matches";"F";74,7391304347826;1563,5;77,8415384615385;1645,64;0;0;0,125;0,478260869565217
"Switzerland";"Cameroon";"group matches";"G";75,7307692307692;1635,92;72,1739130434783;1471,44;0;0;0,324324324324324;0,173913043478261
"Uruguay";"South Korea";"group matches";"H";77,8695652173913;1638,71;61,0384615384615;1530,3;0,75;0,25;0,428571428571429;0,176470588235294
"Portugal";"Ghana";"group matches";"H";77,5384615384615;1676,56;73;1393;1;0;0,466666666666667;0,333333333333333
"Brazil";"Serbia";"group matches";"G";82,3716387959866;1841,3;77,4;1563,62;1;0;0,669724770642202;0,3
"Wales";"IR Iran";"group matches";"B";69,7692307692308;1569,82;71,6428571428571;1564,61;0;0;0,2;0,133333333333333
"Qatar";"Senegal";"group matches";"A";67,0909090909091;1439,89;71,1538461538462;1584,38;0;0;0;0,375
"Netherlands";"Ecuador";"group matches";"A";79,6538461538462;1694,51;70,5416666666667;1464,39;0,5;0;0,54;0,4
"England";"USA";"group matches";"B";76,2307692307692;1728,47;73,7307692307692;1627,48;0,666666666666667;0;0,420289855072464;0,242424242424242
