"year";"stage";"home_team";"away_team";"home_score";"away_score";"winner";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
2006;"Group A";"Germany";"Costa Rica";4;2;"home_team";82,5321739130435;696;66,9;683;1;0;0,608695652173913;0,428571428571429
2006;"Group A";"Poland";"Ecuador";0;2;"away_team";70,6086956521739;677;67,304347826087;631;0,5;0,5;0,5;0,333333333333333
2006;"Group C";"Argentina";"Ivory Coast";2;1;"home_team";79,8260869565217;746;75,7983399209486;NA;1;0;0,5;0
2006;"Group B";"England";"Paraguay";1;0;"home_team";81,695652173913;741;73,9545454545455;653;1;0;0,44;0,263157894736842
2006;"Group B";"Trinidad and Tobago";"Sweden";0;0;"draw";64;604;74,4782608695652;709;0;0;0;0,357142857142857
2006;"Group D";"Angola";"Portugal";0;1;"away_team";64,8571428571429;581;75,304347826087;750;0;1;0;0,583333333333333
2006;"Group D";"Mexico";"IR Iran";3;1;"home_team";74,0434782608696;758;73,5;686;1;0;0,24390243902439;0,166666666666667
2006;"Group C";"Serbia";"Netherlands";0;1;"away_team";77,5625;NA;79,7391304347826;768;0;1;1;0,4375
2006;"Group F";"Australia";"Japan";3;1;"home_team";74,2173913043478;612;73,125;705;0,333333333333333;0,444444444444444;0;0,285714285714286
2006;"Group E";"Italy";"Ghana";2;0;"home_team";83,4813043478261;728;73;600;1;0;0,557142857142857;0
2006;"Group E";"USA";"Czech Republic";0;3;"away_team";73,7826086956522;756;78,0909090909091;772;0;1;0,272727272727273;0
2006;"Group F";"Brazil";"Croatia";1;0;"home_team";75,7478260869565;827;75,9565217391304;686;0,5;0;0,689655172413793;0,6
2006;"Group G";"France";"Switzerland";0;0;"draw";84,4639130434783;749;74,4347826086957;648;0,333333333333333;0,166666666666667;0,477272727272727;0,272727272727273
2006;"Group G";"South Korea";"Togo";2;1;"home_team";62,5652173913044;677;67,0909090909091;569;1;0;0,142857142857143;0
2006;"Group A";"Germany";"Poland";1;0;"home_team";82,5321739130435;696;70,6086956521739;677;1;0;0,608695652173913;0,5
2006;"Group H";"Spain";"Ukraine";4;0;"home_team";76,5;756;71,5789473684211;609;0,666666666666667;0;0,422222222222222;0
2006;"Group H";"Tunisia";"Saudi Arabia";2;2;"draw";66,7391304347826;693;NA;651;0,5;0;0,111111111111111;0,2
2006;"Group A";"Ecuador";"Costa Rica";3;0;"home_team";67,304347826087;631;66,9;683;0,333333333333333;0,111111111111111;0,333333333333333;0,428571428571429
